id,title,category,plugin_scope,problem_statement,evidence,impact_score,risk_reduction_score,time_to_value_score,effort_score,governance_fit_score,overall_score,ninety_day_fit,owner_suggested
OPP-003,Copilot Approval Queue for Mandatory Route Outputs,ai_leverage,opspal-core; opspal-salesforce; opspal-marketo,High mandatory-agent concentration requires a unified approval workflow for production-impacting recommendations.,61 mandatory agents across suite require predictable human-approval gating.,5,5,3,3,5,4.4,yes,revpal-platform
OPP-009,Unified RevOps Next-Best-Action Layer,ai_leverage,opspal-core; opspal-salesforce; opspal-hubspot; opspal-marketo,"Insights exist across many agents, but remediation sequencing is fragmented without unified next-best-action ranking.",Large command/agent surface supports diagnostics but lacks a common prioritized remediation object.,5,4,3,3,5,4.2,yes,revpal-platform
OPP-005,Data Hygiene Sunset Completion,feature_gap,opspal-data-hygiene,Deprecated plugin capabilities still represent migration surface area and support overhead.,1 deprecated plugin(s): opspal-data-hygiene.,4,4,4,2,5,4.18,yes,revpal-platform
OPP-001,Capability Narrative Drift Guardrail,feature_gap,suite-wide,"Top-level product narratives drift from generated registry truth, weakening leadership confidence and field alignment.",Detected 0 metric drift rows across README/FEATURES vs generated catalog.,3,4,5,2,5,4.06,yes,revpal-platform
OPP-004,Cross-Plugin Command Telemetry Contract,feature_gap,suite-wide,Command-level outcomes are not normalized for comparable executive-level KPI tracking across plugins.,No suite-wide command telemetry schema is published for standardized outcome collection.,4,4,3,3,5,3.88,conditional,revpal-platform
OPP-007,Manual Review Load Reduction in Dedup and Routing,ai_leverage,opspal-core; opspal-hubspot; opspal-salesforce,Manual review checkpoints are necessary but expensive; confidence-scored triage can shrink review volume.,Multiple dedup/routing workflows explicitly escalate to manual review states.,4,4,3,3,5,3.88,conditional,revpal-platform
OPP-002,AI Maturity Uplift for Lowest-Coverage Plugins,ai_leverage,opspal-gtm-planning (0.0%); opspal-monday (0.0%); opspal-marketo (11.5%),"AI-enabled capability coverage is uneven across plugins, reducing perceived suite intelligence consistency.","Lowest AI-enabled ratios: opspal-gtm-planning (0.0%), opspal-monday (0.0%), opspal-marketo (11.5%).",4,3,4,3,4,3.7,conditional,revpal-platform
OPP-011,Initiative ROI Instrumentation Layer,feature_gap,suite-wide,ROI reporting exists in pockets; initiative-level KPI baseline/target tracking is not consistently surfaced for executives.,"Self-improvement ROI tooling exists, but not all feature initiatives map to standardized executive KPI objects.",4,3,3,3,5,3.68,conditional,revpal-platform
OPP-012,Strategy Dashboard Gap Category Feeds,feature_gap,opspal-core,The strategy dashboard command does not yet consume dedicated AI-gap and feature-gap portfolio payloads.,Gap payloads are not currently published as explicit dashboard category data sources.,3,3,4,2,5,3.66,conditional,revpal-platform
OPP-006,Monday Plugin Graduation Readiness,feature_gap,opspal-monday,Experimental plugin status limits enterprise confidence and routable use-case expansion.,1 experimental plugin(s): opspal-monday.,3,3,3,3,4,3.18,conditional,revpal-experimental
OPP-008,Cross-Model Consultation Expansion,ai_leverage,opspal-ai-consult; suite-wide consumers,Cross-model consultation value is concentrated in a single plugin rather than embedded in key orchestration paths.,"Dedicated cross-model capability exists, but trigger propagation across other plugins is limited.",3,3,3,3,4,3.18,conditional,revpal-ai
OPP-010,Forecast and Simulation Standardization,feature_gap,opspal-gtm-planning; opspal-hubspot; opspal-core,Forecasting/simulation logic is distributed across domains without a shared confidence and scenario contract.,Simulation and forecast capabilities exist but are not normalized into one reusable suite contract.,3,3,3,3,4,3.18,conditional,revpal-gtm
